t trk
3.071999999999999886e+01 3.241359039849159751e-04
3.103999999999999915e+01 4.158491558647300131e-04
3.103999999999999915e+01 4.158491558647300131e-04
3.103999999999999915e+01 4.158491558647300131e-04
3.103999999999999915e+01 4.158491558647300131e-04
3.135999999999999943e+01 4.247367278352280075e-04
3.135999999999999943e+01 4.247367278352280075e-04
3.135999999999999943e+01 4.247367278352280075e-04
3.135999999999999943e+01 4.247367278352280075e-04
3.167999999999999972e+01 3.934927178356980074e-04
3.167999999999999972e+01 3.934927178356980074e-04
3.167999999999999972e+01 3.934927178356980074e-04
3.167999999999999972e+01 3.934927178356980074e-04
3.200000000000000000e+01 3.497988360732510104e-04
3.200000000000000000e+01 3.497988360732510104e-04
3.200000000000000000e+01 3.497988360732510104e-04
3.200000000000000000e+01 3.497988360732510104e-04
3.232000000000000028e+01 2.726963584870529828e-04
3.232000000000000028e+01 2.726963584870529828e-04
3.232000000000000028e+01 2.726963584870529828e-04
3.232000000000000028e+01 2.726963584870529828e-04
3.264000000000000057e+01 1.770777213413749906e-04
3.264000000000000057e+01 1.770777213413749906e-04
3.264000000000000057e+01 1.770777213413749906e-04
3.264000000000000057e+01 1.770777213413749906e-04
3.296000000000000085e+01 1.059114358203860017e-04
3.296000000000000085e+01 1.059114358203860017e-04
3.296000000000000085e+01 1.059114358203860017e-04
3.296000000000000085e+01 1.059114358203860017e-04
3.328000000000000114e+01 6.486313749343809503e-05
3.328000000000000114e+01 6.486313749343809503e-05
3.328000000000000114e+01 6.486313749343809503e-05
3.328000000000000114e+01 6.486313749343809503e-05
3.360000000000000142e+01 4.227113474021619951e-05
3.360000000000000142e+01 4.227113474021619951e-05
3.360000000000000142e+01 4.227113474021619951e-05
3.360000000000000142e+01 4.227113474021619951e-05
3.392000000000000171e+01 4.195148424929699823e-05
3.392000000000000171e+01 4.195148424929699823e-05
3.392000000000000171e+01 4.195148424929699823e-05
3.392000000000000171e+01 4.195148424929699823e-05
3.424000000000000199e+01 4.997423438167110095e-05
3.424000000000000199e+01 4.997423438167110095e-05
3.424000000000000199e+01 4.997423438167110095e-05
3.424000000000000199e+01 4.997423438167110095e-05
3.456000000000000227e+01 5.693369198963009904e-05
3.456000000000000227e+01 5.693369198963009904e-05
3.456000000000000227e+01 5.693369198963009904e-05
3.456000000000000227e+01 5.693369198963009904e-05
3.488000000000000256e+01 7.513172124930349576e-05
3.488000000000000256e+01 7.513172124930349576e-05
3.488000000000000256e+01 7.513172124930349576e-05
3.488000000000000256e+01 7.513172124930349576e-05
3.520000000000000284e+01 1.303551690704350013e-04
3.520000000000000284e+01 1.303551690704350013e-04
3.520000000000000284e+01 1.303551690704350013e-04
3.520000000000000284e+01 1.303551690704350013e-04
3.552000000000000313e+01 2.063721723082270081e-04
3.552000000000000313e+01 2.063721723082270081e-04
3.552000000000000313e+01 2.063721723082270081e-04
3.552000000000000313e+01 2.063721723082270081e-04
3.584000000000000341e+01 2.999535080910320224e-04
3.584000000000000341e+01 2.999535080910320224e-04
3.584000000000000341e+01 2.999535080910320224e-04
3.584000000000000341e+01 2.999535080910320224e-04
3.615999999999999659e+01 4.082159893310720019e-04
3.615999999999999659e+01 4.082159893310720019e-04
3.615999999999999659e+01 4.082159893310720019e-04
3.615999999999999659e+01 4.082159893310720019e-04
3.647999999999999687e+01 5.269268055532469811e-04
3.647999999999999687e+01 5.269268055532469811e-04
3.647999999999999687e+01 5.269268055532469811e-04
3.647999999999999687e+01 5.269268055532469811e-04
3.679999999999999716e+01 6.274139406574630057e-04
3.679999999999999716e+01 6.274139406574630057e-04
3.679999999999999716e+01 6.274139406574630057e-04
3.679999999999999716e+01 6.274139406574630057e-04
3.711999999999999744e+01 6.807256639549580423e-04
3.711999999999999744e+01 6.807256639549580423e-04
3.711999999999999744e+01 6.807256639549580423e-04
3.711999999999999744e+01 6.807256639549580423e-04
3.743999999999999773e+01 7.042646666847480075e-04
3.743999999999999773e+01 7.042646666847480075e-04
3.743999999999999773e+01 7.042646666847480075e-04
3.743999999999999773e+01 7.042646666847480075e-04
3.775999999999999801e+01 7.030288009753829894e-04
3.775999999999999801e+01 7.030288009753829894e-04
3.775999999999999801e+01 7.030288009753829894e-04
3.775999999999999801e+01 7.030288009753829894e-04
3.807999999999999829e+01 6.742321891889250293e-04
3.807999999999999829e+01 6.742321891889250293e-04
3.807999999999999829e+01 6.742321891889250293e-04
3.807999999999999829e+01 6.742321891889250293e-04
3.839999999999999858e+01 6.332370220308079865e-04
3.839999999999999858e+01 6.332370220308079865e-04
3.839999999999999858e+01 6.332370220308079865e-04
3.839999999999999858e+01 6.332370220308079865e-04
3.871999999999999886e+01 5.813604850046159541e-04
3.871999999999999886e+01 5.813604850046159541e-04
3.871999999999999886e+01 5.813604850046159541e-04
3.871999999999999886e+01 5.813604850046159541e-04
3.903999999999999915e+01 5.292124325777079622e-04
3.903999999999999915e+01 5.292124325777079622e-04
3.903999999999999915e+01 5.292124325777079622e-04
3.903999999999999915e+01 5.292124325777079622e-04
3.935999999999999943e+01 4.855433557027240125e-04
3.935999999999999943e+01 4.855433557027240125e-04
