# time mean_radius area m_irreducible areal_radius
1.760000000000000000e+02 1.885440315000000089e+00 1.937360021000000074e+02 1.963225737999999998e+00 3.926451475999999996e+00
1.763199999999999932e+02 1.886292741999999967e+00 1.937500259999999912e+02 1.963296791999999957e+00 3.926593584999999997e+00
1.766399999999999864e+02 1.887162296999999933e+00 1.937648988999999915e+02 1.963372145999999985e+00 3.926744290999999887e+00
1.769600000000000080e+02 1.888046005000000083e+00 1.937804572000000007e+02 1.963450968000000074e+00 3.926901936000000148e+00
1.772800000000000011e+02 1.888935679999999895e+00 1.937961814999999888e+02 1.963530629000000083e+00 3.927061257000000083e+00
1.775999999999999943e+02 1.889834285000000058e+00 1.938123486000000071e+02 1.963612528999999940e+00 3.927225057999999880e+00
1.779199999999999875e+02 1.890740352999999985e+00 1.938289110000000051e+02 1.963696427999999994e+00 3.927392857000000070e+00
1.782400000000000091e+02 1.891651672999999922e+00 1.938457702000000040e+02 1.963781827000000035e+00 3.927563655000000153e+00
1.785600000000000023e+02 1.892569093000000091e+00 1.938630382999999995e+02 1.963869293999999988e+00 3.927738586999999892e+00
1.788799999999999955e+02 1.893487069000000078e+00 1.938803760000000125e+02 1.963957109000000090e+00 3.927914218000000179e+00
1.791999999999999886e+02 1.894403311999999895e+00 1.938976830999999947e+02 1.964044764999999915e+00 3.928089530999999912e+00
1.795200000000000102e+02 1.895312451999999981e+00 1.939146379999999965e+02 1.964130633999999986e+00 3.928261267999999973e+00
1.798400000000000034e+02 1.896213697000000087e+00 1.939312526999999875e+02 1.964214775999999940e+00 3.928429551999999880e+00
1.801599999999999966e+02 1.897115502999999981e+00 1.939481793999999866e+02 1.964300493999999953e+00 3.928600987999999905e+00
1.804799999999999898e+02 1.898013237000000020e+00 1.939651230000000055e+02 1.964386294000000088e+00 3.928772588999999815e+00
1.808000000000000114e+02 1.898900186000000101e+00 1.939816615999999954e+02 1.964470039999999917e+00 3.928940080999999918e+00
1.811200000000000045e+02 1.899776141999999890e+00 1.939978274999999996e+02 1.964551895000000048e+00 3.929103790000000096e+00
1.814399999999999977e+02 1.900639143999999892e+00 1.940135304000000076e+02 1.964631403000000054e+00 3.929262805000000025e+00
1.817599999999999909e+02 1.901493161000000098e+00 1.940290985000000035e+02 1.964710224000000061e+00 3.929420449000000204e+00
1.820800000000000125e+02 1.902334103999999915e+00 1.940442758000000083e+02 1.964787065000000110e+00 3.929574129000000138e+00
1.824000000000000057e+02 1.903160066000000095e+00 1.940589674000000002e+02 1.964861442999999985e+00 3.929722884999999888e+00
1.827199999999999989e+02 1.903970633999999995e+00 1.940731758000000013e+02 1.964933371999999956e+00 3.929866743999999912e+00
1.830399999999999920e+02 1.904767665000000054e+00 1.940870647000000133e+02 1.965003681000000002e+00 3.930007362000000004e+00
1.833600000000000136e+02 1.905548514999999998e+00 1.941004739999999913e+02 1.965071559999999939e+00 3.930143119999999879e+00
1.836800000000000068e+02 1.906312907000000001e+00 1.941134115000000122e+02 1.965137048999999969e+00 3.930274097999999938e+00
1.840000000000000000e+02 1.907059636000000058e+00 1.941258096999999907e+02 1.965199804999999911e+00 3.930399610999999904e+00
1.843199999999999932e+02 1.907790796000000011e+00 1.941378366000000142e+02 1.965260680000000093e+00 3.930521360999999825e+00
1.846399999999999864e+02 1.908503268000000030e+00 1.941492868999999928e+02 1.965318635000000036e+00 3.930637270000000072e+00
1.849600000000000080e+02 1.909197081999999934e+00 1.941601780000000019e+02 1.965373758999999998e+00 3.930747516999999913e+00
1.852800000000000011e+02 1.909871196999999965e+00 1.941704512999999963e+02 1.965425753000000109e+00 3.930851506000000217e+00
1.855999999999999943e+02 1.910530459999999930e+00 1.941804528000000118e+02 1.965476371000000055e+00 3.930952742000000111e+00
1.859199999999999875e+02 1.911173232999999971e+00 1.941900644000000113e+02 1.965525014000000015e+00 3.931050028000000029e+00
1.862400000000000091e+02 1.911798072000000071e+00 1.941991836999999919e+02 1.965571165000000065e+00 3.931142330000000129e+00
1.865600000000000023e+02 1.912404677999999913e+00 1.942077864000000034e+02 1.965614699999999937e+00 3.931229399999999874e+00
1.868799999999999955e+02 1.912990404000000089e+00 1.942156875000000014e+02 1.965654683999999985e+00 3.931309367999999971e+00
1.871999999999999886e+02 1.913558306999999958e+00 1.942231021999999996e+02 1.965692205999999942e+00 3.931384410999999801e+00
