t re(Psi4_2_0) im(Psi4_2_0)  
2.448000000000000043e+01 6.526875746165845925e-12 4.071205596250598422e-17
2.464000000000000057e+01 6.502204004104080225e-12 3.993469775380220456e-17
2.480000000000000071e+01 6.475025779109389775e-12 3.882667242148616127e-17
2.496000000000000085e+01 6.445341071181805271e-12 3.738797996497743145e-17
2.512000000000000099e+01 6.433829609913941023e-12 3.601433751542229277e-17
2.528000000000000114e+01 6.428083557550265766e-12 3.446831479426234318e-17
2.544000000000000128e+01 6.428102914090721338e-12 3.274991180102510432e-17
2.560000000000000142e+01 6.433887679535273813e-12 3.085912853566749081e-17
2.576000000000000156e+01 6.446849040584782676e-12 2.863644570409649518e-17
2.592000000000000171e+01 6.466140285218691523e-12 2.617757488125057077e-17
2.607999999999999829e+01 6.491761413437013279e-12 2.348251606978768578e-17
2.623999999999999844e+01 6.523712425239714825e-12 2.055126926712855473e-17
2.639999999999999858e+01 6.542040968698149967e-12 1.783702793794485482e-17
2.655999999999999872e+01 6.558718454969266992e-12 1.506787600372214689e-17
2.671999999999999886e+01 6.573744884053344588e-12 1.224381346527424728e-17
2.687999999999999901e+01 6.587120255950271280e-12 9.364840321363154360e-18
2.703999999999999915e+01 6.580174766720068028e-12 6.520543536792189543e-18
2.719999999999999929e+01 6.564110298726822583e-12 3.657170933252445394e-18
2.735999999999999943e+01 6.538926851970443665e-12 7.747225096289206616e-19
2.751999999999999957e+01 6.504624426450949853e-12 -2.126801733217695711e-18
2.767999999999999972e+01 6.467087081011361416e-12 -4.307877044150864368e-18
2.783999999999999986e+01 6.422784380345794784e-12 -6.212218274365347166e-18
2.800000000000000000e+01 6.371716324454264496e-12 -7.839825421880766580e-18
2.816000000000000014e+01 6.313882913336930496e-12 -9.190698489128804839e-18
2.832000000000000028e+01 6.277481039878566150e-12 -1.027491241534755349e-17
2.848000000000000043e+01 6.245592568348150888e-12 -1.108642223427984500e-17
2.864000000000000057e+01 6.218217498745759835e-12 -1.162522795092348915e-17
2.880000000000000071e+01 6.195355831071514967e-12 -1.189132956103629859e-17
2.896000000000000085e+01 6.200001526318816206e-12 -1.161832734730308548e-17
2.912000000000000099e+01 6.218358207891704862e-12 -1.096606113789474391e-17
2.928000000000000114e+01 6.250425875790070270e-12 -9.934530939783895225e-18
2.944000000000000128e+01 6.296204530013884962e-12 -8.523736744808517666e-18
2.960000000000000142e+01 6.348099175952068638e-12 -7.041114754126636512e-18
2.976000000000000156e+01 6.410666810371368999e-12 -5.302203250968955907e-18
2.992000000000000171e+01 6.483907433271606715e-12 -3.307002231673430995e-18
3.007999999999999829e+01 6.567821044652978079e-12 -1.055511700449975347e-18
3.023999999999999844e+01 6.627554615093358849e-12 1.327217170770267733e-18
3.039999999999999858e+01 6.684019962245940852e-12 3.916215083387560037e-18
3.055999999999999872e+01 6.737217086110873530e-12 6.711482041993402138e-18
3.071999999999999886e+01 6.787145986687908083e-12 9.713018041004585720e-18
3.087999999999999901e+01 6.802033814806856506e-12 1.245348047590144596e-17
3.103999999999999915e+01 6.800944279969909473e-12 1.521327491169447929e-17
3.119999999999999929e+01 6.783877382177012055e-12 1.799240134761134003e-17
3.135999999999999943e+01 6.750833121428194947e-12 2.079085978435511897e-17
3.151999999999999957e+01 6.702078911581866105e-12 2.343127923927999120e-17
3.167999999999999972e+01 6.637454304322871543e-12 2.602008230310630770e-17
3.183999999999999986e+01 6.556959299651366356e-12 2.855726897467476032e-17
3.200000000000000000e+01 6.460593897567176868e-12 3.104283925342487571e-17
3.215999999999999659e+01 6.381329072726032537e-12 3.317016780934954737e-17
3.232000000000000028e+01 6.299382240334574528e-12 3.512322983812128838e-17
3.247999999999999687e+01 6.214753400392680058e-12 3.690202534287300437e-17
3.264000000000000057e+01 6.127442552900551882e-12 3.850655432271441651e-17
3.279999999999999716e+01 6.075569488737001186e-12 3.948159481575396633e-17
3.296000000000000085e+01 6.036262333374717510e-12 4.010027999866707127e-17
3.311999999999999744e+01 6.009521086813696007e-12 4.036260987103713882e-17
3.328000000000000114e+01 5.995345749054013417e-12 4.026858443275799939e-17
3.343999999999999773e+01 6.006474354504005745e-12 3.964228216790229528e-17
3.360000000000000142e+01 6.035264082518696753e-12 3.858925598886530993e-17
3.375999999999999801e+01 6.081714933098191455e-12 3.710950588920023166e-17
3.392000000000000171e+01 6.145826906242283862e-12 3.520303187878028332e-17
3.407999999999999829e+01 6.207020812130962746e-12 3.346920599385245703e-17
3.424000000000000199e+01 6.277644164656182659e-12 3.154840501349387858e-17
3.439999999999999858e+01 6.357696963818195635e-12 2.944062893624268396e-17
3.456000000000000227e+01 6.447179209616866770e-12 2.714587775855059837e-17
3.471999999999999886e+01 6.510617717095093591e-12 2.460548039631743360e-17
3.488000000000000256e+01 6.569296397227203173e-12 2.185463949824318442e-17
3.503999999999999915e+01 6.623215250013177747e-12 1.889335506741178852e-17
3.520000000000000284e+01 6.672374275452888066e-12 1.572162710400668687e-17
3.535999999999999943e+01 6.693319232681547282e-12 1.321461127312294146e-17
3.552000000000000313e+01 6.700122666218063209e-12 1.084721417570493042e-17
3.567999999999999972e+01 6.692784576062409997e-12 8.619435810355735170e-18
3.584000000000000341e+01 6.671304962214624804e-12 6.531276179132794308e-18
3.600000000000000000e+01 6.638465904005980515e-12 5.038563553515610067e-18
3.615999999999999659e+01 6.592598153837810013e-12 3.867800970403578797e-18
3.632000000000000028e+01 6.533701711709853186e-12 3.018988428981851095e-18
3.647999999999999687e+01 6.461776577622313599e-12 2.492125930100863312e-18
3.664000000000000057e+01 6.399899823416122523e-12 2.410044125684086959e-18
3.679999999999999716e+01 6.334225205986532494e-12 2.699044623912444716e-18
3.696000000000000085e+01 6.264752725333785852e-12 3.359127426453947145e-18
3.711999999999999744e+01 6.191482381457615215e-12 4.390292533964332564e-18
3.728000000000000114e+01 6.140094091794056804e-12 5.724137161550191416e-18
3.743999999999999773e+01 6.095179905881666764e-12 7.401702978597057085e-18
3.760000000000000142e+01 6.056739823720275457e-12 9.422989986070865868e-18
3.775999999999999801e+01 6.024773845310074331e-12 1.178799818409903036e-17
3.792000000000000171e+01 6.012167763640116750e-12 1.415668372432930537e-17
3.807999999999999829e+01 6.011190102916991051e-12 1.673307291654239433e-17
3.824000000000000199e+01 6.021840863140625343e-12 1.951716575971589961e-17
3.839999999999999858e+01 6.044120044311097171e-12 2.250896225330468751e-17
3.856000000000000227e+01 6.073740745870343561e-12 2.512709187181924586e-17
3.871999999999999886e+01 6.113275108153293900e-12 2.772037693080402387e-17
3.888000000000000256e+01 6.162723131159684042e-12 3.028881742987102214e-17
3.903999999999999915e+01 6.222084814889854875e-12 3.283241336385725699e-17
3.920000000000000284e+01 6.276111130456414360e-12 3.477154209945204997e-17
3.935999999999999943e+01 6.333951495191635999e-12 3.645397721484873348e-17
3.952000000000000313e+01 6.395605909095807368e-12 3.787971871211147918e-17
3.967999999999999972e+01 6.461074372168480948e-12 3.904876658773892176e-17
3.984000000000000341e+01 6.514436379573620330e-12 4.016095521436287716e-17
4.000000000000000000e+01 6.565244234212998741e-12 4.109638397043495513e-17
4.015999999999999659e+01 6.613497936086591138e-12 4.185505285183760372e-17
4.032000000000000028e+01 6.659197485194245657e-12 4.243696186074828858e-17
4.047999999999999687e+01 6.693044438383542047e-12 4.253270286707594703e-17
4.064000000000000057e+01 6.720617861545983349e-12 4.232792074228537465e-17
4.079999999999999716e+01 6.741917754681548561e-12 4.182261549780253757e-17
4.096000000000000085e+01 6.756944117790072892e-12 4.101678712362101254e-17
4.111999999999999744e+01 6.764098651494928073e-12 4.036552037085226541e-17
4.128000000000000114e+01 6.764340335422344067e-12 3.959576438636997885e-17
4.143999999999999773e+01 6.757669169572046223e-12 3.870751917485942583e-17
4.160000000000000142e+01 6.744085153944260724e-12 3.770078473528159023e-17
4.175999999999999801e+01 6.726546342829700943e-12 3.674835257058452526e-17
4.192000000000000171e+01 6.703277903653996532e-12 3.574654777914255507e-17
4.207999999999999829e+01 6.674279836416936657e-12 3.469537036354930640e-17
4.224000000000000199e+01 6.639552141118853322e-12 3.359482031923441499e-17
4.239999999999999858e+01 6.603953375532219110e-12 3.210147898615474310e-17
4.256000000000000227e+01 6.564568404993395374e-12 3.042139756341138615e-17
4.271999999999999886e+01 6.521397229502415234e-12 2.855457604665606271e-17
4.288000000000000256e+01 6.474439849059315042e-12 2.650101444563289669e-17
4.303999999999999915e+01 6.430898363099976813e-12 2.390307007829788335e-17
4.320000000000000284e+01 6.386451511962836442e-12 2.097532855277081208e-17
4.335999999999999943e+01 6.341099295647754180e-12 1.771778986814594730e-17
4.352000000000000313e+01 6.294841714155196931e-12 1.413045402355902101e-17
4.367999999999999972e+01 6.258364621384466897e-12 1.076906323464366595e-17
4.384000000000000341e+01 6.225256504996004566e-12 7.300172169169381923e-18
4.400000000000000000e+01 6.195517364989643534e-12 3.723780836889229943e-18
4.415999999999999659e+01 6.169147201365538090e-12 3.988922783423743337e-20
4.432000000000000028e+01 6.157397557504940829e-12 -3.242856812633926367e-18
4.447999999999999687e+01 6.153517507379111826e-12 -6.429644787548682242e-18
4.464000000000000057e+01 6.157507050988173059e-12 -9.520474696769504910e-18
4.479999999999999716e+01 6.169366188331756980e-12 -1.251534654683352677e-17
4.496000000000000085e+01 6.193073537990663513e-12 -1.470269945072883006e-17
4.511999999999999744e+01 6.226241928816517879e-12 -1.650946994243964457e-17
4.528000000000000114e+01 6.268871360809311191e-12 -1.793565801254627621e-17
4.543999999999999773e+01 6.320961833969059607e-12 -1.898126367103677025e-17
4.560000000000000142e+01 6.372576526788932270e-12 -1.887684284966526444e-17
4.575999999999999801e+01 6.429677532173262924e-12 -1.808406198909218376e-17
4.592000000000000171e+01 6.492264850121814884e-12 -1.660292108490386069e-17
4.607999999999999829e+01 6.560338480634636619e-12 -1.443342014136492350e-17
4.624000000000000199e+01 6.612811766339011643e-12 -1.207066815639873439e-17
4.639999999999999858e+01 6.662336701658331709e-12 -9.217599727906265447e-18
4.656000000000000227e+01 6.708913286593081494e-12 -5.874214862572440305e-18
4.671999999999999886e+01 6.752541521142790054e-12 -2.040513556163543023e-18
4.688000000000000256e+01 6.774382067897765106e-12 1.978064263401624365e-18
4.703999999999999915e+01 6.785738529303863217e-12 6.364782553414883822e-18
4.720000000000000284e+01 6.786610905360929290e-12 1.111964131154105377e-17
4.735999999999999943e+01 6.776999196069292906e-12 1.624264054159011474e-17
4.752000000000000313e+01 6.754942780344574163e-12 2.067975942804025349e-17
4.767999999999999972e+01 6.721618030837294696e-12 2.506341045957323953e-17
4.784000000000000341e+01 6.677024947547507820e-12 2.939359363214629013e-17
4.800000000000000000e+01 6.621163530475164259e-12 3.367030895708131265e-17
4.815999999999999659e+01 6.571974949811841397e-12 3.734134793068848827e-17
4.832000000000000028e+01 6.518694503442523496e-12 4.073803565249305956e-17
4.847999999999999687e+01 6.461322191367263869e-12 4.386037212570278762e-17
4.864000000000000057e+01 6.399858013586032628e-12 4.670835734086031489e-17
4.879999999999999716e+01 6.359429997689008522e-12 4.882652040986044328e-17
