t re(Psi4_2_0) im(Psi4_2_0)  
2.800000000000000000e+01 2.844756226299247831e-12 8.641409794748754578e-18
2.816000000000000014e+01 2.958774214564866095e-12 7.766874293641389685e-18
2.832000000000000028e+01 3.047218568733748200e-12 8.392755959033185586e-18
2.848000000000000043e+01 3.124871924321272148e-12 9.618992552473314888e-18
2.864000000000000057e+01 3.153406832592448681e-12 1.114077965377833858e-17
2.880000000000000071e+01 3.334879297501052254e-12 1.310141781399249106e-17
2.896000000000000085e+01 3.313016519487375135e-12 1.318840459994763667e-17
2.912000000000000099e+01 3.205941810470168454e-12 1.217362861879411115e-17
2.928000000000000114e+01 3.054323406267657562e-12 1.118242609594130752e-17
2.944000000000000128e+01 2.889833943951263050e-12 1.023583277191370976e-17
2.960000000000000142e+01 2.753522234661353067e-12 8.791576420217398524e-18
2.976000000000000156e+01 2.615357642666427253e-12 7.102725914985763309e-18
2.992000000000000171e+01 2.541668887291395972e-12 5.935395143970828544e-18
3.007999999999999829e+01 2.442583508562992159e-12 5.345099357484748263e-18
3.023999999999999844e+01 2.509986563728087273e-12 4.966956195734338462e-18
3.039999999999999858e+01 2.663695061853795870e-12 4.988990776444598633e-18
3.055999999999999872e+01 2.939052727679146360e-12 4.466477850844331721e-18
3.071999999999999886e+01 3.321247159779550173e-12 3.595221154233288330e-18
3.087999999999999901e+01 3.677105502452685934e-12 3.352529226478794819e-18
3.103999999999999915e+01 4.054533269919364148e-12 3.413554538252983054e-18
3.119999999999999929e+01 4.373699057570541638e-12 3.272333099183981566e-18
3.135999999999999943e+01 4.562002774066034061e-12 2.853555940557973283e-18
3.151999999999999957e+01 4.651427196864465766e-12 2.640224684878368504e-18
3.167999999999999972e+01 4.657059284408324353e-12 2.385826918019174983e-18
3.183999999999999986e+01 4.576301916611700852e-12 1.916006275856493586e-18
3.200000000000000000e+01 4.240915604840773180e-12 2.571524330163970325e-18
3.215999999999999659e+01 4.008333699585117488e-12 2.485603465289196412e-18
3.232000000000000028e+01 3.787218225507023625e-12 2.148845565684114439e-18
3.247999999999999687e+01 3.643651439686551531e-12 1.990838942754577059e-18
3.264000000000000057e+01 3.658417922356472620e-12 3.177890476007775358e-18
3.279999999999999716e+01 3.600769601174815771e-12 3.323791615686574909e-18
3.296000000000000085e+01 3.551741459870267631e-12 3.290828085956168229e-18
3.311999999999999744e+01 3.466209418843473729e-12 3.793408341686812009e-18
3.328000000000000114e+01 3.696181316323987773e-12 3.700378714314464034e-18
3.343999999999999773e+01 3.581783216614201232e-12 4.837128792641775776e-18
3.360000000000000142e+01 3.316545497961206047e-12 6.547648141726325940e-18
3.375999999999999801e+01 2.953314873687736171e-12 8.890385535309089253e-18
3.392000000000000171e+01 2.484757156892428309e-12 1.183385745280702016e-17
3.407999999999999829e+01 2.163505376519607620e-12 1.331970727044509606e-17
3.424000000000000199e+01 1.868510571283270320e-12 1.419259310622179859e-17
3.439999999999999858e+01 1.726703477638952824e-12 1.499670165282618778e-17
3.456000000000000227e+01 1.219688367476362681e-12 1.736300123558473999e-17
3.471999999999999886e+01 1.337771152567291267e-12 1.731243010678407441e-17
3.488000000000000256e+01 1.733826609580707112e-12 1.628305490618941117e-17
3.503999999999999915e+01 2.292038280983973801e-12 1.466507085398772994e-17
3.520000000000000284e+01 2.757733999159475537e-12 1.345908519927398754e-17
3.535999999999999943e+01 3.344050550923346001e-12 1.325109980806314093e-17
3.552000000000000313e+01 3.996411804721762377e-12 1.383932549517089309e-17
3.567999999999999972e+01 4.561157291555792129e-12 1.494058322363727134e-17
3.584000000000000341e+01 5.315313558922270512e-12 1.705254726046368487e-17
3.600000000000000000e+01 5.658879198895260466e-12 1.909585564870795313e-17
3.615999999999999659e+01 5.827271432408841150e-12 2.134820297917142688e-17
3.632000000000000028e+01 5.884903737618575041e-12 2.296068091456945459e-17
3.647999999999999687e+01 6.028613942629521409e-12 2.386302191885145496e-17
3.664000000000000057e+01 5.989370456216575133e-12 2.347136753393699282e-17
